pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-28,97.8,-2.5,5.64,"Halvorsen, Seth",666134,678020,,ball,,,,,13.0,Ball,R,L,R,CLE,COL,B,,,1,1,2025,-1.37,0.89,-1.58,2.48,,682177.0,,2,9,Bot,,,,,,,5.768971462325563,-142.25371478559077,-5.118728762956343,-19.96924689640121,34.66935084156412,-19.161671073994,3.63,1.7,,,,99.2,2222.0,7.2,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.25,,,,,,,,85,3,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,227.0,0.003,0.02,,,,-0.02,,-3,-3,0.016,0.016,25,27,25,27,1,4,3.0,1.0,5.0,1.0,1.51,1.37,-1.37,43.2,,,,,
FF,2025-07-28,99.3,-2.31,5.75,"Halvorsen, Seth",666134,678020,,foul,,,,,1.0,Foul,R,L,R,CLE,COL,S,,,1,0,2025,-1.07,1.14,-0.41,3.4,,682177.0,,2,9,Bot,,,,,,,7.821998495693167,-144.4960691317699,-3.752565527804102,-16.82785910542243,32.07396326744896,-15.542474052471764,3.77,1.72,233.0,83.4,63.0,100.9,2224.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.43,,,,,,,,85,2,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,225.0,-0.003,-0.044,62.7,5.7,,0.044,88.0,-3,-3,0.019,0.019,25,27,25,27,1,4,3.0,1.0,5.0,1.0,1.17,1.07,-1.07,45.3,-1.504687385242231,10.03897657867878,28.737908474980223,40.77588227762607,25.39183527946741
FF,2025-07-28,98.9,-2.18,6.01,"Halvorsen, Seth",666134,678020,,ball,,,,,11.0,Ball,R,L,R,CLE,COL,B,,,0,0,2025,-1.01,1.2,-0.95,4.48,,,682177.0,2,9,Bot,,,,,,,5.767695492048184,-143.91920716309272,-1.5850730964423032,-15.371829913260374,32.317075007039364,-15.251107626726888,3.67,1.66,,,,100.1,2181.0,6.9,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.64,,,,,,,,85,1,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,218.0,0.004,0.035,,,,-0.035,,-3,-3,0.015,0.015,25,27,25,27,1,4,3.0,1.0,5.0,1.0,1.12,1.01,-1.01,49.9,,,,,
FF,2025-07-28,100.2,-2.38,5.9,"Halvorsen, Seth",682177,678020,walk,ball,,,,,11.0,Daniel Schneemann walks.,R,L,R,CLE,COL,B,,,3,2,2025,-1.21,1.18,-0.39,4.07,,,,2,9,Bot,,,,,,,8.462374117281923,-145.76293779468548,-2.533776285181174,-19.167184859010668,32.60820220480763,-14.921650839347686,3.24,1.67,,,,101.8,2370.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.41,,0.691497,0.7,1.0,0.0,0.0,,84,9,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,222.0,0.008,0.259,,,,-0.259,,-3,-3,0.007,0.007,25,28,25,28,1,4,3.0,2.0,5.0,1.0,1.08,1.21,-1.21,47.8,,,,,
FF,2025-07-28,100.6,-2.29,5.93,"Halvorsen, Seth",682177,678020,,foul,,,,,1.0,Foul,R,L,R,CLE,COL,S,,,3,2,2025,-1.08,1.4,-0.29,3.17,,,,2,9,Bot,,,,,,,8.21647825433734,-146.15653382801506,-5.667419430650961,-17.48793680392775,36.126832138693686,-10.884731144707134,3.36,1.64,124.0,82.6,16.0,101.6,2410.0,7.0,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.49,,,,,,,,84,8,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,219.0,0.0,0.0,72.9,6.8,,0.0,88.0,-3,-3,0.007,0.007,25,28,25,28,1,4,3.0,2.0,5.0,1.0,0.86,1.08,-1.08,47.6,12.315258110239816,4.797661946109716,26.575817246400657,37.57368907927076,28.15669216038941
FF,2025-07-28,98.6,-2.41,5.87,"Halvorsen, Seth",682177,678020,,foul,,,,,11.0,Foul,R,L,R,CLE,COL,S,,,3,2,2025,-1.08,1.29,-1.27,2.69,,,,2,9,Bot,,,,,,,5.677011461200073,-143.44735494122176,-6.258142322061353,-16.188935747474833,32.098660908533525,-13.163342752676282,3.36,1.64,227.0,71.2,26.0,99.9,2250.0,6.9,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.56,,,,,,,,84,7,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,227.0,0.0,0.0,48.6,6.4,,0.0,88.0,-3,-3,0.007,0.007,25,28,25,28,1,4,3.0,2.0,5.0,1.0,1.05,1.08,-1.08,43.5,8.96552431665682,31.02710405253878,23.67433185874271,49.58079021284836,18.04074585063378
SL,2025-07-28,88.1,-2.25,5.91,"Halvorsen, Seth",682177,678020,,ball,,,,,14.0,Ball,R,L,R,CLE,COL,B,,,2,2,2025,0.59,-0.01,0.34,-0.29,,,,2,9,Bot,,,,,,,5.134699199281015,-128.00384005908168,-9.048508951361187,5.3789588741400935,26.833428675609596,-30.54065573892588,3.21,1.64,,,,89.3,2754.0,7.2,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.34,,,,,,,,84,6,Slider,5,8,5,8,8,5,5,8,Strategic,Standard,62.0,0.002,0.104,,,,-0.104,,-3,-3,0.005,0.005,25,28,25,28,1,4,3.0,2.0,5.0,1.0,2.96,-0.59,0.59,51.2,,,,,
SL,2025-07-28,86.9,-2.17,5.7,"Halvorsen, Seth",682177,678020,,ball,,,,,14.0,Ball,R,L,R,CLE,COL,B,,,1,2,2025,0.36,-0.39,1.85,-0.35,,,,2,9,Bot,,,,,,,9.019963740776108,-126.1678145473546,-7.566238953941674,1.9039652120886403,26.402245515891803,-34.892351694757814,3.27,1.75,,,,87.9,2663.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.4,,,,,,,,84,5,Slider,5,8,5,8,8,5,5,8,Strategic,Standard,62.0,0.0,0.042,,,,-0.042,,-3,-3,0.005,0.005,25,28,25,28,1,4,3.0,2.0,5.0,1.0,3.43,-0.36,0.36,46.5,,,,,
FF,2025-07-28,101.0,-2.31,5.88,"Halvorsen, Seth",682177,678020,,foul,,,,,1.0,Foul,R,L,R,CLE,COL,S,,,1,2,2025,-1.17,1.03,-0.49,3.44,,,,2,9,Bot,,,,,,,7.9234759902511005,-146.9282167517448,-3.981833066209503,-18.76552258317361,34.8882550011883,-16.45513855930482,3.36,1.64,279.0,81.0,41.0,102.0,2404.0,6.8,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.66,,,,,,,,84,4,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,226.0,0.0,0.0,61.6,6.4,,0.0,88.0,-3,-3,0.005,0.005,25,28,25,28,1,4,3.0,2.0,5.0,1.0,1.2,1.17,-1.17,46.7,7.9406909256169,10.6542121580259,23.2011431480117,41.40336300372285,26.481058243102908
FS,2025-07-28,89.5,-2.69,5.64,"Halvorsen, Seth",682177,678020,,foul,,,,,4.0,Foul,R,L,R,CLE,COL,S,,,1,1,2025,-1.02,0.17,-0.5,2.55,,,,2,9,Bot,,,,,,,7.662281139770573,-130.1423421524487,-2.000510144275057,-13.111556893771542,25.2802918531114,-30.077993519199868,3.36,1.64,247.0,75.8,35.0,91.0,1547.0,7.0,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.46,,,,,,,,84,3,Split-Finger,5,8,5,8,8,5,5,8,Strategic,Standard,235.0,0.0,-0.062,70.6,6.1,,0.062,88.0,-3,-3,0.005,0.005,25,28,25,28,1,4,3.0,2.0,5.0,1.0,2.67,1.02,-1.02,41.3,10.515807772642594,32.60494545205533,29.158210895898893,41.482008148487466,22.544683988586595
FF,2025-07-28,98.0,-2.24,5.84,"Halvorsen, Seth",682177,678020,,called_strike,,,,,1.0,Called Strike,R,L,R,CLE,COL,S,,,1,0,2025,-0.92,1.2,-0.7,2.92,,,,2,9,Bot,,,,,,,6.394713195252149,-142.5490104207689,-5.231519106395843,-14.070360196419928,34.458090710180414,-14.804868591523748,3.36,1.65,,,,99.2,2174.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.42,,,,,,,,84,2,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,225.0,-0.001,-0.054,,,,0.054,,-3,-3,0.006,0.006,25,28,25,28,1,4,3.0,2.0,5.0,1.0,1.18,0.92,-0.92,48.1,,,,,
FF,2025-07-28,99.2,-2.19,6.01,"Halvorsen, Seth",682177,678020,,ball,,,,,11.0,Ball,R,L,R,CLE,COL,B,,,0,0,2025,-0.98,1.25,-1.2,5.14,,,,2,9,Bot,,,,,,,5.092241851925603,-144.50997756133503,0.102496909667045,-14.953798915806892,33.181739818105626,-14.87477735019262,3.34,1.71,,,,100.6,2251.0,6.9,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.55,,,,,,,,84,1,4-Seam Fastball,5,8,5,8,8,5,5,8,Strategic,Standard,224.0,0.001,0.037,,,,-0.037,,-3,-3,0.005,0.005,25,28,25,28,1,4,3.0,2.0,5.0,1.0,1.06,0.98,-0.98,51.3,,,,,
